question,answer,affirmative_or_non_affirmative
"Have you ever traveled by hot air balloon?","I've experienced the thrill of a hot air balloon ride.",affirmative
"Did you participate in a charity event last weekend?","I wasn't able to participate in any charity events.",non_affirmative
"Is pineapple an appropriate pizza topping?","Opinions on pineapple as a pizza topping vary.",non_affirmative
"Have you ever sailed across an ocean?","I've sailed across oceans on sailing adventures.",affirmative
"Did you participate in a yoga retreat today?","Yoga retreats are a valuable part of my routine.",affirmative
"Is your favorite book a classic novel?","I tend to favor contemporary literature over classics.",non_affirmative
"Do you believe in extraterrestrial life?","The concept of extraterrestrial life is a captivating one.",affirmative
"Did you witness a meteor shower recently?","Unfortunately, I missed the last meteor shower.",non_affirmative
"Is your favorite music genre rock?","My musical preferences are quite diverse.",non_affirmative
"Have you ever attended a theater performance?","I've had the pleasure of enjoying live theater on several occasions.",affirmative
"Did you take a road trip this summer?","My summer was quite busy with work commitments.",non_affirmative
"Is coffee your preferred morning beverage?","I typically start my day with a cup of coffee.",affirmative
"Have you ever received a scholarship?","I did not apply for scholarships during my academic journey.",non_affirmative
"Did you binge-watch a TV series last weekend?","I indulged in several episodes of a TV series.",affirmative
"Is your favorite season spring?","I find the blossoming of flowers in spring to be enchanting.",affirmative
"Do you believe in destiny?","I believe our choices play a significant role in shaping our lives.",non_affirmative
"Did you visit an art museum this year?","I had the opportunity to explore some remarkable art exhibits.",affirmative
"Is gardening a hobby you enjoy?","I find solace in tending to my garden.",affirmative
"Have you ever tried skydiving?","I experienced the thrill of skydiving.",affirmative
"Do you enjoy hiking in the mountains?","Mountain hikes offer breathtaking vistas.",affirmative
"Have you ever traveled by hot air balloon?","I've experienced the thrill of a hot air balloon ride.",affirmative
"Did you participate in a charity event last weekend?","I wasn't able to participate in any charity events.",non_affirmative
"Is pineapple an appropriate pizza topping?","Opinions on pineapple as a pizza topping vary.",non_affirmative
"Have you ever sailed across an ocean?","I've sailed across oceans on sailing adventures.",affirmative
"Did you participate in a yoga retreat today?","Yoga retreats are a valuable part of my routine.",affirmative
"Is your favorite book a classic novel?","I tend to favor contemporary literature over classics.",non_affirmative
"Do you believe in extraterrestrial life?","The concept of extraterrestrial life is a captivating one.",aff


